data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8629285,48,BHR10050,10050,"05 August 2021",2021,2,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,"Jidd Hafs",26.2191,50.5366,1,"14 February Revolution Youth Coalition",Other,"Around 5 August 2021, protesters, including February 14 Youth Coalition, demonstrated in the 'resilience triangle' towns of Al Daih, Jidd Hafs, and Sanabis (Capital) as well as Demistan (Northern) denouncing the suffering of the prisoners of Jaw prison. [size=no report]",0,1636407476,BHR
8629314,48,BHR10052,10052,"05 August 2021",2021,2,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,Demistan,26.1264,50.4811,1,"14 February Revolution Youth Coalition",Other,"Around 5 August 2021, protesters, including February 14 Youth Coalition, demonstrated in the 'resilience triangle' towns of Al Daih, Jidd Hafs, and Sanabis (Capital) as well as Demistan (Northern) denouncing the suffering of the prisoners of Jaw prison. [size=no report]",0,1636407476,BHR
8660289,48,BHR10051,10051,"05 August 2021",2021,2,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"Twitter; 14 February Revolution Youth Coalition; ADHRB","Other-New media","Around 5 August 2021, protesters, including February 14 Youth Coalition, demonstrated in the 'resilience triangle' towns of Al Daih, Jidd Hafs, and Sanabis (Capital) as well as Demistan (Northern) denouncing the suffering of the prisoners of Jaw prison. [size=no report]",0,1638220166,BHR
8820891,48,BHR10043,10043,"25 July 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"Bahrain Mirror",National,"On 25 July 2021, protesters marched in Abu Saybi and Ash Shakhurah (Northern) demanding the release of prisoners of conscience from Jaw Prison. [size=no report]",0,1644271367,BHR
8820908,48,BHR10044,10044,"25 July 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"Bahrain Mirror",National,"On 25 July 2021, protesters marched in Abu Saybi and Ash Shakhurah (Northern) demanding the release of prisoners of conscience from Jaw Prison. [size=no report]",0,1644271367,BHR
8403444,48,BHR10041,10041,"24 July 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,Buri,26.1514,50.4975,1,"14 February Revolution Youth Coalition",Other,"On 24 July 2021, protesters, including February 14 Youth Coalition, blocked a public road in Buri (Northern) in solidarity with prisoners of conscience on 'national Bahraini captives day' demanding their release. [size=no report]",0,1627932713,BHR
8819720,48,BHR10042,10042,"24 July 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,Maqabah,26.2108,50.4875,1,"Al Wefaq National Islamic Society; SALAM DHR; Bahrain Mirror","New media-National","On 24 July 2021, protesters demonstrated in Maqabah (Northern) demanding the release of prisoners of conscience. [size=no report]",0,1644271364,BHR
8384635,48,BHR10040,10040,"13 July 2021",2021,2,"Violence against civilians",Attack,"Police Forces of Bahrain (1999-) Prison Guards",,1,"Civilians (Bahrain)","Prisoners (Bahrain)",7,17,"Middle East",Bahrain,Southern,,,"Jaw Prison",25.9916,50.6165,1,"14 February Revolution Youth Coalition",Other,"Around 13 July 2021, prison guards assaulted a number of prisoners in Building 15 of Jaw Prison (Southern). Reason for the assault is unclear but it seems to be related to the participation of prisoners in protests denouncing the death of prisoner Hussein Barakat from coronavirus in Jaw Prison.",0,1626717803,BHR
8777084,48,BHR10032,10032,"12 July 2021",2021,2,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,"Al Daih",26.2167,50.5333,1,"14 February Revolution Youth Coalition; LuaLua TV",Other-International,"Around 12 July 2021, protesters, including February 14 Youth Coalition, marched in in the 'resilience triangle' towns of Al Daih, Jidd Hafs, and Sanabis, as well as in Sitrah (Capital); and in Al Diraz, Barbar, Karranah, and Demistan (Northern) demanding unconditional freedom for prisoners of conscience in Jaw prison. [size=no report]",0,1642167841,BHR
8777085,48,BHR10033,10033,"12 July 2021",2021,2,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,"Jidd Hafs",26.2191,50.5366,1,"14 February Revolution Youth Coalition; LuaLua TV",Other-International,"Around 12 July 2021, protesters, including February 14 Youth Coalition, marched in in the 'resilience triangle' towns of Al Daih, Jidd Hafs, and Sanabis, as well as in Sitrah (Capital); and in Al Diraz, Barbar, Karranah, and Demistan (Northern) demanding unconditional freedom for prisoners of conscience in Jaw prison. [size=no report]",0,1642167841,BHR
